authors	url (pdf)	licence	title	keywords
Green, Harriett Elizabeth; Senseney, Megan; Bonn, Maria	https://dh2017.adho.org/abstracts/435/435.pdf	cc-by	Collaborations in the Global Midwest: The Diffusion of DH Values in Research Collaborations in the Humanities Without Walls consortium	research practices, collaborations, digital publishing, interdisciplinary research
Greenspan, Brian	https://dh2017.adho.org/abstracts/328/328.pdf	cc-by	Dazzle them with Baffles: Gauging Attitudes toward Digital Fabrication in an Online Musicians’ Community	3D Printing, musical instruments, audio analysis, social media, sentiment analysis
Greenspan, Brian	https://dh2017.adho.org/abstracts/557/557.pdf	cc-by	Expo &#8217;27: Designing and User-Testing a Dystopian Augmented Reality Game	Montreal, AR, mobile gaming, technoculture, dystopia
Griggs, Hannah C.	https://dh2017.adho.org/abstracts/244/244.pdf	cc-by	Mapping Prohibition: The Challenges of Digitally (Re)creating Historical Spaces	public history, visualization, New Orleans, mapping, print culture
Grossner, Karl; Berman, Merrick Lex; Simon, Rainer	https://dh2017.adho.org/abstracts/204/204.pdf	cc-by	Linked Places: A Modeling Pattern and Software for Representing Historical Movement	data modeling, ontologies, geographic movement, geographic networks
Guiliano, Jennifer; Heitman, Carolyn	https://dh2017.adho.org/abstracts/372/372.pdf	cc-by	Indigenizing the Digital Humanities: Challenges, Questions, and Research Opportunities	Native American, Indigenous, Open Access, Tribal
Gutiérrez De la Torre, Silvia Eunice; Equihua Benítez, Julián Alberto; Chávez Villa, Micaela	https://dh2017.adho.org/abstracts/446/446.pdf	cc-by	Los Hilos De Ariadna En El Laberinto Temático: Visualización Y Minado De Datos Para Bibliotecas	data mining, data science, metadata, libraries, data visualisation
Hammond, Adam; Brooke, Julian	https://dh2017.adho.org/abstracts/388/388.pdf	cc-by	GutenTag: A User-Friendly, Open-Access, Open-Source System for Reproducible Large-Scale Computational Literary Analysis	distant reading, tools, corpora, reproducibility, sex and gender
Hankins, Gabriel Anderson; Elavsky, Frank	https://dh2017.adho.org/abstracts/594/594.pdf	cc-by	“Comparing Correspondences: Robert Southey and Willa Cather”	correspondence, visualization, metadata, graphs, networks
Hanna, Fabiola	https://dh2017.adho.org/abstracts/536/536.pdf	cc-by	A Case Study of Automated Curation of Digital Archives	software studies, digital humanities, archives, new media art, video
Harbers, Frank; Lonij, Juliette	https://dh2017.adho.org/abstracts/206/206.pdf	cc-by	Distinguishing Newspaper Genres. Exploring Automated Classification of Journalism’s Modes of Expression	Automatic Genre Classification, Historical Newspapers, Machine Learning, Digital Newspaper Archives
Hardy, Molly; Childress, Dawn; Morgan, Paige	https://dh2017.adho.org/abstracts/430/430.pdf	cc-by	Beyond Access: Critical Catalog Constructions	cataloging, bibliography, metadata, information architecture, book history
Hayward, Nicholas John	https://dh2017.adho.org/abstracts/624/624.pdf	cc-by	A Cor infrastructure for textual analysis &#8211; From Woolf to Verne	verne, computer science
Hechtl, Angelika; Börner, Ingo; Fischer, Frank; Trilcke, Peer	https://dh2017.adho.org/abstracts/506/506.pdf	cc-by	Cäsar Flaischlen’s “Graphische Litteratur-Tafel” &#8211; Digitizing A Giant Historical Flowchart Of Foreign Influences On German Literature	literary map, TEI, data visualization, german literary history, history of DH
Hellrich, Johannes; Hahn, Udo	https://dh2017.adho.org/abstracts/487/487.pdf	cc-by	Don’t Get Fooled by Word Embeddings—Better Watch their Neighborhood	word embeddings, reliability, word2vec, distributional semantics
Hench, Christopher Leo	https://dh2017.adho.org/abstracts/141/141.pdf	cc-by	Prosodic Clustering via Cosine Similarity of Sound Sequence Inventories	prosody, authorship, syllables, meter, german
Heuser, Ryan James	https://dh2017.adho.org/abstracts/582/582.pdf	cc-by	Word Vectors in the Eighteenth Century	word vectors, word2vec, distant reading, cultural analytics, eighteenth century
Hicks, Benjamin Wesley	https://dh2017.adho.org/abstracts/453/453.pdf	cc-by	Mapping Pliny Social Network: A Case Study in Digital Prosopography	Pliny, social network analysis, prosopography, Roman History
Hiebert, Matthew; Lässig, Simone; Witt, Andreas	https://dh2017.adho.org/abstracts/607/607.pdf	cc-by	German History-Digital: Platform for Transnational Historical Knowledge Co-creation	repository, knowledge creation, history, infrastructure
Hinrichs, Uta; Forlini, Stefania	https://dh2017.adho.org/abstracts/133/133.pdf	cc-by	In Defence of Sandcastles: Research Thinking Through Visualization In DH	information visualization, research-through-design, interdisciplinary processes, DH tools, literary studies
Hladík, Radim	https://dh2017.adho.org/abstracts/549/549.pdf	cc-by	Topics and genre changes in Czech sociological articles	sociology, academic writing, genre, disciplines, rhetoric of science
Holmes, Martin; Takeda, Joey	https://dh2017.adho.org/abstracts/140/140.pdf	cc-by	Beyond Validation: Using Programmed Diagnostics to Learn About, Monitor, and Successfully Complete Your DH Project	digital edition, validation, diagnostics, referential integrity, project management
Homburg, Timo	https://dh2017.adho.org/abstracts/139/139.pdf	cc-by	POSTagging and Semantic Dictionary Creation for Hittite Cuneiform	Hittite, Cuneiform, Dictionary, POSTagging, Semantic Web
Hoover, Polly Ruth	https://dh2017.adho.org/abstracts/207/207.pdf	cc-by	Digital Access as an Equity Issue: The Community College and the Digital Divide	access communitycollege equity pedagogy institutionalinfrastructure
Houston, Natalie M	https://dh2017.adho.org/abstracts/479/479.pdf	cc-by	Measuring Canonicity: a Network Analysis Approach to Poetry Anthologies	network, citation, poetry, anthology
Hu, Tao; Zeng, Marcia; Zhang, Yin; Ye, Xinyue; Li, Hongshan	https://dh2017.adho.org/abstracts/571/571.pdf	cc-by	Spatial-temporal Variation based Innovation History Visualization: A Case Study of the Liquid Crystal Institute at Kent State University	Liquid Crystal, Innovation, spatial-temporal, network analysis, visualization
Huitfeldt, Claus; Sperberg-McQueen, Michael	https://dh2017.adho.org/abstracts/235/235.pdf	cc-by	Transcriptional Implicature: Using a Transcript to Reason about an Exemplar	transcription, logic, document identity, formal models
Hulden, Vilja	https://dh2017.adho.org/abstracts/597/597.pdf	cc-by	Add Slander and Stir: Reprinting of Anti-Labor Stories in Early-Twentieth-Century American Newspapers	newspapers, reprint detection, labor history
Hyman, Christy; Shrout, Anelise; Kaczmarek-Frew, Kathryn; Green, Hilary; Frazier, Nishani; Rosenblum, Brian	https://dh2017.adho.org/abstracts/233/233.pdf	cc-by	Decolonizing Methodologies: Recovery and Access Amidst the Ruins	recovery, subaltern, alternate reality games, spatial analysis, digital collections
Höhn, Winfried; Schommer, Christoph	https://dh2017.adho.org/abstracts/528/528.pdf	cc-by	RAT 2.0	Image Processing, Historical Maps, HCI, Convolutional Neural Networks
Höhn, Winfried; Schommer, Christoph	https://dh2017.adho.org/abstracts/613/613.pdf	cc-by	Georeferencing of Place Markers in Digitized Early Maps by Using Similar Maps as Data Source	Early Maps, Georeferencing, Automation
Iannozzi, Michael Anthony	https://dh2017.adho.org/abstracts/448/448.pdf	cc-by	A Seat At &#8220;La Tawola&#8221;	Italian, Immigration, Heritage, Community, Archive
Impett, Leonardo Laurence; Süsstrunk, Sabine	https://dh2017.adho.org/abstracts/525/525.pdf	cc-by	From Mnemosyne To Terpsichore &#8211; The Bilderatlas After The Image	Warburg, Bilderatlas, Human Pose, Gesture
Isaksen, Leif; Simon, Rainer; Barker, Elton T. E.	https://dh2017.adho.org/abstracts/570/570.pdf	cc-by	Social Semantic Annotation with Recogito 2	Linked Open Data, Semantic Annotation, tools, geospatial technologies
Jacobs, Hannah L.	https://dh2017.adho.org/abstracts/397/397.pdf	cc-by	Points, Lines, Polygons, and Pixels: A Framework for Teaching &amp; Learning Humanities through Visualization	pedagogy, visualization, digital literacy
Jannidis, Fotis; Pielström, Steffen; Schöch, Christof; Vitt, Thorsten	https://dh2017.adho.org/abstracts/411/411.pdf	cc-by	Making topic modeling easy. A programming library in Python	topic modeling, text analysis, python
Jean-Caurant, Axel; Suire, Cyrille; Courboulay, Vincent; Burie, Jean-Christophe	https://dh2017.adho.org/abstracts/183/183.pdf	cc-by	Limiter L&#8217;Impact Des Erreurs OCR Sur Les Représentations Distribuées De Mots	word embeddings, post-OCR error correction
Jenstad, Janelle Auriol; Landels-Gruenewald, Tye; Takeda, Joseph	https://dh2017.adho.org/abstracts/461/461.pdf	cc-by	Mapping the STC with MoEML and DEEP	Book trade, mapping, data mining, curation, databases, relational data
John, Markus; Richter, Christian; Koch, Steffen; Kuczera, Andreas; Ertl, Thomas	https://dh2017.adho.org/abstracts/313/313.pdf	cc-by	Interactive Visual Exploration of the Regesta Imperii	Digital Humanites, Interactive Visualization
Johnsen, Lars Gunnarsønn	https://dh2017.adho.org/abstracts/566/566.pdf	cc-by	Body parts in Norwegian books	body, ngrams, trends, gender
Johnsrud, Brian Charles	https://dh2017.adho.org/abstracts/249/249.pdf	cc-by	Finding ‘the Reader’ in Literary Criticism and the Reception of Contemporary Literature	reception, reader, audience, qualitative coding, annotation
Johnsrud, Brian Charles; Bush, Daniel Marle; Widner, Michael	https://dh2017.adho.org/abstracts/415/415.pdf	cc-by	Digital Annotation for Social and Collaborative Learning in the Humanities Classroom	annotation, pedagogy, learning, social, collaborative
Jones, Steven; Nyhan, Julianne; Rockwell, Geoffrey; Sinclair, Stéfan; Terras, Melissa	https://dh2017.adho.org/abstracts/042/042.pdf	cc-by	Reverse Engineering the First Humanities Computing Center	history of technology, media archaeology, digitization, modeling
