authors	url (pdf)	licence	title	keywords
Senseney, Megan; Velez, LaTesha; Maden, Christopher R.; Swatscheno, Janet; Bonn, Maria; Green, Harriett; Fenlon, Katrina	https://dh2017.adho.org/abstracts/498/498.pdf	cc-by	Informing Library-Based Digital Publishing: A Survey of Scholars’ Needs in a Contemporary Publishing Environment	digital scholarly publishing, library publishing, digital scholarship
Sharpe, Celeste Tường Vy; Calhoun, Sarah	https://dh2017.adho.org/abstracts/596/596.pdf	cc-by	Temporal Loci And Mixed Reality: An Experiment In Diversifying Visualizations Of Time And Space	mixed reality, collaboration, digital liberal arts, visualization, diversity
Shaw, William; Milewicz, Liz	https://dh2017.adho.org/abstracts/400/400.pdf	cc-by	Access for Whom? Rethinking Audience and Editorial Decisions through Project Vox	philosophy, audience, analytics, outreach
Shelton, Nicola Jane	https://dh2017.adho.org/abstracts/247/247.pdf	cc-by	Long-term outcomes of humanities higher and further education in England and Wales	Humanities, degree, employment, health
Shepard, David Lawrence; Hashimoto, Takako; Okamoto, Hiroshi; Kuboyama, Tetsuji; Shin, Kilho	https://dh2017.adho.org/abstracts/355/355.pdf	cc-by	Missionaries, Politicians, and Boy Bands: Onlooker Behavior on Twitter During the Nepal, Kumamoto, and Ecuador Earthquakes	twitter, networks, disasters, earthquakes
Shepard, Rob	https://dh2017.adho.org/abstracts/620/620.pdf	cc-by	Placing Segregation	historical GIS, nineteenth century, mapping, urban geography, housing segregation
Short, Harold; Crispin, Judith; Baker, Drew	https://dh2017.adho.org/abstracts/337/337.pdf	cc-by	Digital Humanities, Cultural Heritage and Social Justice: the case of a destroyed Armenian cemetery	3D Modelling, Virtual Reality, Cultural Heritage, Social Justice, Armenia
Sichani, Anna-Maria; Dillen, Wout; Martinez, Merisa Ariel; Kelly, Aodhán; Bleeker, Elli	https://dh2017.adho.org/abstracts/373/373.pdf	cc-by	Refining our Concept of ‘Access’ for Digital Scholarly Editions: A DiXiT Panel on Accessibility, Usability, Pedagogy, Collaboration, Community and Diversity.	digital scholarly editing, diversity, accessibility, pedagogy, usability, community of practice
Siders, Anne R	https://dh2017.adho.org/abstracts/451/451.pdf	cc-by	Collocations and Network Structure Provide Insights to Functional Elements of Adaptive Capacity	climate adaptation, environmental humanities, collocation, network analysis, geohumanities
Sikes, Sara B.; Mylonas, Elli; Green, Harriet	https://dh2017.adho.org/abstracts/135/135.pdf	cc-by	Building Capacity for Digital Scholarship &amp; Publishing: Three Approaches from Mellon’s 2014-2015 Scholarly Communications Initiative	scholarly publishing, multimodal, scholarly communications, collaboration, design thinking
Skallerup Bessette, Lee; Eshleman, Kristen; Christian-Lamb, Caitlin; Senier, Siobhan; Youngman, Paul A.	https://dh2017.adho.org/abstracts/177/177.pdf	cc-by	Sustaining and Scaling the Digital Liberal Arts	Digital Liberal Arts, Pedagogy, Sustainability, Collaboration, Scale
Skarsouli, Pinelopi; Bacalexi, Dina	https://dh2017.adho.org/abstracts/431/431.pdf	cc-by	L’Accès vu comme une Contrainte et un Défi : le processus de naissance d’une base de données	bases de données, Antiquité, structuration, utilisateurs, interdisciplinarité
Skorinkin, Daniil	https://dh2017.adho.org/abstracts/625/625.pdf	cc-by	Character-distinguishing features in fictional dialogue: the case of War and Peace	fictional dialogue, narrative, pov, stylometry, delta
Smith, Kevin G.	https://dh2017.adho.org/abstracts/097/097.pdf	cc-by	Modeling Student Authorship: The Rhetoric of Markup in the Writing Classroom	xml, pedagogy, authorship, rhetoric
Smits, Thomas	https://dh2017.adho.org/abstracts/010/010.pdf	cc-by	Illustrations to Photographs: using computer vision to analyse news pictures in Dutch newspapers, 1860-1940	computer vision, photographs, illustrations, news discourse, visual culture studies
Snyder, Lisa M.	https://dh2017.adho.org/abstracts/577/577.pdf	cc-by	The VSim Repository and Archive: Knowledge Mobilization for 3D Research	virtual reality, software, 3D, computer models, pedagogy
Snyder, Lisa M.; Gill, Alyson	https://dh2017.adho.org/abstracts/510/510.pdf	cc-by	Cultural Challenges for 3D Research	3D modeling, cultural heritage, visualization, scholarship, research
Song, Yuting; Kimura, Taisuke; Batjargal, Biligsaikhan; Maeda, Akira	https://dh2017.adho.org/abstracts/369/369.pdf	cc-by	Linking the Same Ukiyo-e Prints in Different Languages by Exploiting Word Semantic Relationships across Languages	cross-language record linkage, multilingual information access, word embedding, Japanese arts, humanities resources
Sperberg-McQueen, C. M.	https://dh2017.adho.org/abstracts/028/028.pdf	cc-by	Hapax: Probabilistic part-of-speech tagging in XQuery and XForms	POS tagging, linguistic annotation
Sperberg-McQueen, Michael; Quin, Liam	https://dh2017.adho.org/abstracts/665/665.pdf	cc-by	Introduction to Electronic Books: EPub 3.0 and Beyond	electronic books, EPub, publishing, web standards
Spiro, Lisa; Henry, Geneva; Taylor, Toniesha; French, Amanda	https://dh2017.adho.org/abstracts/360/360.pdf	cc-by	Establishing a “Resilient Network” for Digital Humanities	networks, collaboration, curriculum
Stewart, Elizabeth Eleanor Rose	https://dh2017.adho.org/abstracts/243/243.pdf	cc-by	‘The Royaltie of Sight’: A 3D-GIS recreation of ‘prospects’ and ‘perspectives’ within an English designed landscape, c.1550-1660	3D-GIS, viewshed, landscape history, designed landscapes, prospect
Suire, Cyrille; Jean-Caurant, Axel; Illouz, Charles	https://dh2017.adho.org/abstracts/297/297.pdf	cc-by	Ouvrir les Boîtes Noires : un Outil Pédagogique pour une Approche Critique de la Recherche d&#8217;Information en Ligne.	outil, pédagogique, recherche d&#8217;information, pratiques, méthodes
Sula, Chris Alen; Hackney, S E; Cunningham, Phillip	https://dh2017.adho.org/abstracts/232/232.pdf	cc-by	A Survey of Digital Humanities Programs	teaching, theory, skills, curricula, education
Sula, Chris Alen; Hill, Heather	https://dh2017.adho.org/abstracts/347/347.pdf	cc-by	The Early History of Digital Humanities	history of digital humanities, media, disciplines, teaching, humanities computing
Sun, Hao; Jin, Mingzhe	https://dh2017.adho.org/abstracts/534/534.pdf	cc-by	Ghostwriter identification of Yasunari Kawabata in the 1960s	Yasunari Kawabata, ghostwriter, authorship identification, stylometry
Surkan, Kj	https://dh2017.adho.org/abstracts/521/521.pdf	cc-by	Sharing Surgical Scars: Social Networks and the Many Gendered Meanings of Mastectomy	transgender, body, breast, mastectomy, social media
T., Shanmugapriya	https://dh2017.adho.org/abstracts/082/082.pdf	cc-by	Developing Database For Scholarship In Indian Languages And Literatures	Database, Digitization, Open Access, Language Literatures, Preservation
Tanasescu (MARGENTO), Chris; Inkpen, Diana; Kesarwani, Vaibhav; Paget, Brian	https://dh2017.adho.org/abstracts/623/623.pdf	cc-by	Access(ed) Poetry. The Graph Poem Project and the Place of Poetry in Digital Humanities	poetry, text analysis, graph theory
Tang, Muh-Chyun; Chen, Kuang-hua	https://dh2017.adho.org/abstracts/293/293.pdf	cc-by	A cross-language co-word network comparison of Buddhist literature in Digital Library and Museum of Buddhist study	Buddhist studies, co-word analysis, social network analysis
Tarte, Ségolène Marie; Duta, Mihaela; Antoniades, Chrystalina	https://dh2017.adho.org/abstracts/304/304.pdf	cc-by	Reading Handwritten Scripts: Investigating the Human Visual System for Artificial Intelligence in Palaeography	palaeography, visual system, epistemology, cognitive sciences
Taylor, Laurie N.	https://dh2017.adho.org/abstracts/316/316.pdf	cc-by	Generous and Generative Communities for the Digital Humanities with the Digital Library of the Caribbean and Caribbean Studies	Caribbean, DOCC, community of practice, constellation of communities of practice, socio-technical
Tchienehom, Pascaline Laure	https://dh2017.adho.org/abstracts/187/187.pdf	cc-by	Humanités Numériques et Web Sémantique : du langage naturel à une représentation computationnelle structurée et sémantique des données	Triplestores, CIDOC-CRM, Graphe Sémantique, Sparql
Terras, Melissa; Kizhner, Inna; Rumyantsev, Maxim; Sycheva, Kristina	https://dh2017.adho.org/abstracts/109/109.pdf	cc-by	Accessing Russian Culture Online: The scope of digitisation in museums across Russia	Digitisation, museums, Russia, digital canon, access
Tilton, Lauren; Arnold, Taylor; Heppler, Jason; Nelson, Robert	https://dh2017.adho.org/abstracts/267/267.pdf	cc-by	Mapping 20th Century America	spatial analysis, mapping, toolkits, deep maps, public humanities
Tonra, Justin Emmet; Kelly, David; Reid, Lindsay Ann	https://dh2017.adho.org/abstracts/336/336.pdf	cc-by	Personæ: A Character-Visualisation Tool for Dramatic Texts	visualisation; networks; drama; exploratory; Shakespeare
Tracy, Daniel G.; Hoiem, Elizabeth Massa	https://dh2017.adho.org/abstracts/186/186.pdf	cc-by	Access to DH Pedagogy as the Norm: Introducing Students to DH Methods Across the Curriculum and at a Distance	pedagogy, publishing, Scalar, children&#8217;s literature, scalability
Tran, Van Canh; Markert, Katja; Nejdl, Wolfgang	https://dh2017.adho.org/abstracts/048/048.pdf	cc-by	A Framework For Historical Russian Flu Epidemic Exploration From German Newspapers	russian flu, historical influenza epidemic, german news, spatio-temporal events
Tsai, Richard Tzong-Han; Lai, Yu-Ting; Pai, Pi-Ling; Wang, Yu-Chun; Huang, Sunny Hui-Min; Fan, I-Chun	https://dh2017.adho.org/abstracts/298/298.pdf	cc-by	WeisoEvent: A Ming-Weiso Event Analytics Tool with Named Entity Markup and Spatial-Temporal Information Linking	Event Analytics, Ming Weiso Event, Paragraph Vector, Spatial-Temporal Linking, Named Entity Markup
Tsuchimura, Narumi	https://dh2017.adho.org/abstracts/466/466.pdf	cc-by	How Agatha Christie Described Women?: The Behaviour of She in Christie&#8217;s Novels	stylometry, collocation, word&#8217;s behaviour, women and men
Tucker, Aaron	https://dh2017.adho.org/abstracts/230/230.pdf	cc-by	Replication, Visualization &amp; Tactility: Towards a Deeper Involvement of 3D Printing in Humanities Scholarship and Research	3D Printing, Visualization, machine translation, Digital Replication
Tunink, Gregory John; Dalziel, Karin; Dussault, Jessica; Rau, Emily	https://dh2017.adho.org/abstracts/488/488.pdf	cc-by	Annotonia: Annotations from Browser to TEI	Annotation, Open Source Software, Cather Studies
Turton, Alexander Robert	https://dh2017.adho.org/abstracts/493/493.pdf	cc-by	Towards Feminist Data Production; A Case Study From Comics	feminism, databases, ontologies, plurality
Uesaka, Ayaka	https://dh2017.adho.org/abstracts/084/084.pdf	cc-by	Verifying the Authorship of Saikaku Ihara’s Arashi ha Mujyō Monogatari in Early Modern Japanese Literature: A Quantitative Approach	Authorship problem, Japanese early modern literatures, Saikaku Ihara, Dansui Hōjyō, Principal Component Analysis, Cluster Analysis
Valsalakumari, Lakshmi	https://dh2017.adho.org/abstracts/221/221.pdf	cc-by	Limories &#8211; Expanding Access To Local Histories And Memories With Computational Aids In The Indian Context	Local History, Curation, Crowd-Sourcing, Memory, Semantics
van Bree, Pim; Kessels, Geert	https://dh2017.adho.org/abstracts/309/309.pdf	cc-by	Iterative Data Modelling: from Teaching Practice to Research Method	data modelling, nodegoat, iteration, database, teaching
van Bree, Pim; Kessels, Geert	https://dh2017.adho.org/abstracts/366/366.pdf	cc-by	nodegoat: Enabling Explorative Research	diachronic, actor-network, research environment, visualisation, historical network research
Van Der Zwaan, Janneke; Smink, Wouter; Sools, Anneke; Westerhof, Gerben; Veldkamp, Bernard; Wiegersma, Sytske	https://dh2017.adho.org/abstracts/215/215.pdf	cc-by	Flexible NLP Pipelines for Digital Humanities Research	Natural Language Processing, Pipelines, Common Workflow Language
Van Zundert, Joris J.; Burton, Matt	https://dh2017.adho.org/abstracts/093/093.pdf	cc-by	Defactoring Pace of Change	code peer review, peer review, open science, reproducibility, evaluation methodology
Viehhauser-Mery, Gabriel; Barth, Florian	https://dh2017.adho.org/abstracts/413/413.pdf	cc-by	Towards a Digital Narratology of Space	Space, Narratology, Networks, Text analysis, Spatial analysis
Visconti, Amanda	https://dh2017.adho.org/abstracts/392/392.pdf	cc-by	Less intent, more impact: Transforming public DH projects toward access, care, and inclusion	crowdsourcing, design, critique, edition, interface
von Vacano, Claudia; De Kosnik, Abigail T. De Kosnik; Best, Stephen	https://dh2017.adho.org/abstracts/240/240.pdf	cc-by	Digital Humanities at Berkeley and the Digital Life Project	Critical Race Theory, diversity, archives, pedagogy
Walkowski, Niels-Oliver	https://dh2017.adho.org/abstracts/094/094.pdf	cc-by	Evaluating Research Practices In The Digital Humanities By Means Of User-Activity-Analysis	user-activity-analysis, digital humanities, research practices, methodology, knowledge creation
Walkowski, Niels-Oliver; Pause, Johannes	https://dh2017.adho.org/abstracts/095/095.pdf	cc-by	Dead And Beautiful: The Analysis Of Colors By Means Of Contrasts In Neo-Zombie Movies	colour quantization, film analysis, johannes itten, clustering, histogram
Walsh, Brandon	https://dh2017.adho.org/abstracts/033/033.pdf	cc-by	Collaborative Writing to Build Digital Humanities Praxis	pedagogy, collaboration, writing, praxis, capacity
Wandl-Vogt, Eveline; Ostojic, Davor; Piringer, Barbara; Rainer, Heimo; Zsaytseva, Ksenia	https://dh2017.adho.org/abstracts/531/531.pdf	cc-by	Designing Collaborative Ecosystems and community organization: Introducing the multidisciplinary portal on &#8220;Biodiversity and Linguistic Diversity: A Collaborative Knowledge Discovery Environment&#8221;	biodiversity; open innovation in science; innovation networks; open science
Ward, Megan Elizabeth; Wisnicki, Adrian S.	https://dh2017.adho.org/abstracts/241/241.pdf	cc-by	Livingstone Online: Access Beyond Openness	digital archives
Wasmoen, Nikolaus Lee	https://dh2017.adho.org/abstracts/629/629.pdf	cc-by	Multiplying Access: the Marianne Moore Digital Archive&#8217;s Tools and Methods for Collaboration	digital edition, TEI, editorial projects, digital archive
Weinryb Grohsgal, Leah	https://dh2017.adho.org/abstracts/374/374.pdf	cc-by	Using Big Data to Ask Big Questions: A Digital Humanities Challenge in Historic Newspapers	History, Chronicling America, Newspapers, Visualizations, NEH
Wendell, Augustus; Wells, Louis	https://dh2017.adho.org/abstracts/274/274.pdf	cc-by	Virtual Hamlet	3d, Theatre, Kinect, Motion Capture
Wicentowski, Joseph; Anderson, Clifford	https://dh2017.adho.org/abstracts/661/661.pdf	cc-by	XQuery for Digital Humanists	XQuery, XML, TEI
Wicentowski, Joseph; Anderson, Clifford	https://dh2017.adho.org/abstracts/663/663.pdf	cc-by	XQuery for Data Integration	XQuery, Data Integration, JSON, CSV, RDF
Wieringa, Jeri	https://dh2017.adho.org/abstracts/440/440.pdf	cc-by	Playing with Time	time, text-mining, discourse analysis
Wiesner, Susan L.; Stalnaker, Rommie L.; Ramsay, Stephen; Pytlik Zillig, Brian	https://dh2017.adho.org/abstracts/092/092.pdf	cc-by	Schrifttanz Zwei	Dance, computer music, animation, collaboration, multimedia
Williams, David-Antoine	https://dh2017.adho.org/abstracts/234/234.pdf	cc-by	Opening up the /Oxford English Dictionary/: What an enhanced legacy dataset can tell us about language, lexicography, literature, and history.	Oxford English Dictionary, metadata, poetry, literary criticism, lexicography
Williams, Helene C.	https://dh2017.adho.org/abstracts/053/053.pdf	cc-by	Digital Humanities Pedagogy in the University of Washington Information School MLIS Program	library science education, disciplinary training, digital tool exploration, professional training
Witt, Andreas; Stahn, Lena-Luise; De Luca, Ernesto William; Schwedes, Kerstin	https://dh2017.adho.org/abstracts/212/212.pdf	cc-by	WorldViews: Access to International Textbooks for Digital Humanities	TEI, CMDI, textbook research
Wittern, Christian	https://dh2017.adho.org/abstracts/296/296.pdf	cc-by	Effective Identification of Citations in the Kanseki Repository	Premodern chinese, citation analysis, information extraction
Yamada, Taizo; Inoue, Satoshi	https://dh2017.adho.org/abstracts/105/105.pdf	cc-by	Collecting Name of Historical Person from Historical Material Related to Japan	japanese history, historical material, personal name, linked data
Yamanaka, Mishio	https://dh2017.adho.org/abstracts/349/349.pdf	cc-by	Interpreting Racial Identities and Resistance to Segregation in the Digital Sphere	GIS, Race and Ethnicities, Public History
Zafrin, Vika; Galina Russell, Isabel; Gil, Alex; Ray Murray, Padmini	https://dh2017.adho.org/abstracts/278/278.pdf	cc-by	Copyright, Digital Humanities, and Global Geographies of Knowledge	copyright, author rights, praxis, colonialism
Zeng, Marcia Lei; Lee, James; Johnson, Arlene	https://dh2017.adho.org/abstracts/269/269.pdf	cc-by	Smart Data Approaches to Exploring Independent Datasets across Disciplines, Media, and Perspectives for Research in the Humanities	smart data, history of innovation, poetry, linked reading, networks
Zhang, Jinman; Graves, Roger; Graves, Heather; Rockwell, Geoffrey	https://dh2017.adho.org/abstracts/403/403.pdf	cc-by	The Game of Writing: Gamification and Social Commenting in Writing Instruction	Pedagogy, Online Writing, Gamification, Social Learning, Task Completion Structure
