article,num affs,Text analysis/mining,Digital heritage and multimedia,Textual scholarship,Data preservation and  digital curation,DH discipline,NLP,Other,year
10.1007_s42803-019-00010-y,1,0.0043627308332358,0.0014542439021168999,0.2145123183727264,0.00218136573676,0.7753080129623413,0.0007271218928508,0.0014542438439092,2019
10.1007_s42803-019-00011-x,2,0.0048742062062953,0.1678219898021779,0.8216172456741333,0.0024371044710276,0.0008123682346194,0.0008123677107505,0.0016247355961239,2019
10.1007_s42803-019-00011-x,2,0.0048742062062953,0.1678219898021779,0.8216172456741333,0.0024371044710276,0.0008123682346194,0.0008123677107505,0.0016247355961239,2019
10.1007_s42803-019-00012-w,3,0.0052118158782829,0.0017372719594276002,0.261933833360672,0.0026059079682453,0.0008686361834406,0.7259052991867065,0.0017372717265969999,2019
10.1007_s42803-019-00012-w,3,0.0052118158782829,0.0017372719594276002,0.261933833360672,0.0026059079682453,0.0008686361834406,0.7259052991867065,0.0017372717265969999,2019
10.1007_s42803-019-00012-w,3,0.0052118158782829,0.0017372719594276002,0.261933833360672,0.0026059079682453,0.0008686361834406,0.7259052991867065,0.0017372717265969999,2019
10.1007_s42803-019-00013-9,1,0.0028418966685418,0.8729718040849548,0.0004736495611723,0.12181800091639139,0.000473649444757,0.0004736495029646,0.000947298714891,2019
10.1007_s42803-019-00014-8,1,0.0031523745856245,0.0010507915867492,0.485971599817276,0.4645478794700465,0.0437012016773223,0.0005253957933746,0.0010507914121262,2019
10.1007_s42803-019-00015-7,2,0.0069490541936828,0.0023163515143096,0.9826273918151855,0.0034745273878797,0.0011581761064007,0.0011581757571548,0.0023163517471402,2019
10.1007_s42803-019-00015-7,2,0.0069490541936828,0.0023163515143096,0.9826273918151855,0.0034745273878797,0.0011581761064007,0.0011581757571548,0.0023163517471402,2019
10.1007_s42803-019-00016-6,1,0.006466745049692601,0.0021555817220359,0.9838331341743468,0.0032333731651305,0.0010777910938486,0.001077790861018,0.0021555820712819,2019
10.1007_s42803-019-00017-5,1,0.0073551839450373,0.0024517284473403,0.3080600798130035,0.0036775921471415996,0.6747778058052063,0.0012258641654625,0.0024517277488484,2019
10.1007_s42803-019-00018-4,1,0.005438227031845401,0.0018127426737918999,0.1375894695520401,0.0027191137196494997,0.8497213125228882,0.0009063713951036,0.0018127425573765,2019
10.1007_s42803-019-00019-3,1,0.006152649060822801,0.0020508833695202,0.984618365764618,0.0030763257527722,0.0010254418011754,0.0010254415683448,0.0020508832531048998,2019
10.1007_s42803-019-00020-w,1,0.0066999422851944995,0.0022333145607261002,0.5005833506584167,0.0033499712590125998,0.4837834239006042,0.0011166570475324,0.0022333140950648,2019
10.1007_s42803-019-00021-9,2,0.4234144820948127,0.0016045192023738,0.5693651437759399,0.0024067795020526,0.0008022596011869,0.0008022597176022,0.0016045190859584999,2019
10.1007_s42803-019-00021-9,2,0.4234144820948127,0.0016045192023738,0.5693651437759399,0.0024067795020526,0.0008022596011869,0.0008022597176022,0.0016045190859584999,2019
10.1007_s42803-019-00023-7,1,0.9250751451472752,0.0018662579241207,0.0665266960859298,0.0027993872063233,0.0009331291075795,0.0009331291075795,0.0018662578659132,2019
10.1007_s42803-019-00024-6,2,0.185497327125631,0.0019850371172651,0.642350435256958,0.0029775555012745,0.1642121225595474,0.0009925185004249,0.0019850367680191,2019
10.1007_s42803-019-00024-6,2,0.185497327125631,0.0019850371172651,0.642350435256958,0.0029775555012745,0.1642121225595474,0.0009925185004249,0.0019850367680191,2019
10.1007_s42803-019-00025-5,1,0.1736206911737098,0.2487784544937312,0.5700563788414001,0.0032333345152436997,0.0010777785209938,0.0010777782881632,0.0021555565763264,2019
10.1093_digitalsh_fqz013,2,0.0037148222909305995,0.0012382744462228,0.0006191371940076,0.0018574115238151,0.2942786812782288,0.6970533728599548,0.0012382742715998,2019
10.1093_digitalsh_fqz013,2,0.0037148222909305995,0.0012382744462228,0.0006191371940076,0.0018574115238151,0.2942786812782288,0.6970533728599548,0.0012382742715998,2019
