article,Text analysis/mining,Digital heritage and multimedia,Textual scholarship,Data preservation and  digital curation,DH discipline,NLP,Other
10.1093_llc_16.3.251,0.1379252640763296,0.0013443991774692,0.0006721995887346,0.0020165990572421997,0.0006721994723193,0.8560249209403992,0.0013443990610539
10.1093_llc_16.3.265,0.9938093759701587,0.0012381242122499999,0.0006190621643327,0.0018571865512056998,0.0006190619897097,0.000619062280748,0.0012381239212117
10.1093_llc_16.3.287,0.9964237235253675,0.0007152567850425,0.0003576285380404,0.0010728855268097,0.0003576284798327,0.0003576283634174,0.0007152568141462999
10.1093_llc_16.4.353,0.33174629090353813,0.0010171314352191,0.0005085656885057,0.0015256968908942,0.0005085657467134,0.6636766195297241,0.0010171313188037999
10.1093_llc_16.4.375,0.044613830279558606,0.0024516305420546,0.0012258153874427,0.0036774459294973997,0.001225815503858,0.0012258156202733,0.9455796341644599
10.1093_llc_16.4.389,0.0049365091836077,0.0016455025179311,0.0008227512007579,0.0024682536604813,0.0008227511425502,0.0008227514917962,0.988481490581762
10.1093_llc_16.4.403,0.9921838443842718,0.0015632314025424,0.0007816156721673,0.0023448467836713997,0.0007816156139597,0.0007816157885827,0.0015632311697117
10.1093_llc_16.4.421,0.993487194413319,0.0013025579974055,0.0006512789404951,0.0019538370543158,0.0006512790569104,0.000651279988233,0.0013025579391978
10.1093_llc_16.4.445,0.4561772855813612,0.0891333784675225,0.0007355851121246,0.0022067549289202003,0.0007355849375016,0.4495402276515961,0.0014711702824569
10.1093_llc_16.4.467,0.9947007859009316,0.0010598404915071,0.0005299202748574,0.0015897607663645,0.0005299201002344,0.0005299219628795,0.0010598404332994998
10.1093_llc_17.1.1,0.7756741478806359,0.003053388558328,0.0015266945119947,0.0045800833031533,0.0015266941627487,0.2105855941772461,0.0030533891404046004
10.1093_llc_17.1.103,0.0050707469927143,0.4440362951718271,0.0008451245375908,0.0025353733217343,0.2774565517902374,0.0008451246540062,0.2692107461043633
10.1093_llc_17.1.19,0.9525907265488054,0.0012760013341903,0.0006380005506798,0.0019140017684548998,0.0006380004924722,0.0416672304272651,0.001276001043152
10.1093_llc_17.1.49,0.0063599419081581,0.0021199809852987,0.00105999072548,0.0031799719436092,0.5302388668060303,0.001059990376234,0.4559812659863382
10.1093_llc_17.1.89,0.0045748172560703005,0.9893254110356791,0.0007624695426784,0.0022874090936965,0.0007624698337167,0.0007624695426784,0.0015249392599798002
