iso_a3,year,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
DEU,2010,0.0008098674006759999,0.40250109726912325,0.09396807226585215,0.0008098674006759999,0.49624202816630714,0.004859204607782551,0.00080986740067595
DEU,2011,0.00157351811399805,1.1556567199960612,0.26236829860967437,0.3304970855990957,0.003147035828857957,0.009441107378473715,0.16588765362394034
DEU,2012,0.1277722505702208,1.6151471564405546,2.1934259241107297,0.2851241591333138,0.9913130149851588,2.18631659956639,0.334234164013469
DEU,2013,0.8904939347121394,2.507853517677479,1.0674107943971949,0.7172704836921182,0.6116682782521814,1.277765380449029,0.38587087016154914
DEU,2014,0.16036865900969108,1.0688222119875714,0.6925858318689276,1.751512826723046,0.008720851945690283,0.9482696490595103,0.1697199244867076
DEU,2015,1.1995296139464093,2.004130890623976,2.1754177824652285,0.00828698410574924,0.01657396481217086,2.462017401511547,0.9007100008583314
DEU,2016,1.716788079869279,1.2107547674316987,2.2235532094710613,1.2083358217477023,0.021458559000442263,3.091792179476412,1.5296983352679359
DEU,2017,1.7043238137909182,4.508901411756163,3.711953398610403,1.9694217599377264,0.6166445540108544,8.022902642270466,2.150773053435171
DEU,2018,2.006152061276629,1.132518211240593,2.913274906795574,2.300945448724734,0.029194259269083627,2.156174891573346,4.767295916299593
DEU,2019,3.9114820024904997,4.8961097712228,1.2513922637219,3.3660580705536716,1.3278523433528033,4.160061692282515,0.3049011595416914
DEU,2020,0.12199626826719964,2.588857091992395,1.4417312989263635,1.063336961052846,0.7764808800304303,2.018743090283045,0.005521118204341863
DNK,2005,0.0002157090697437402,0.09786477650050072,0.00043141811620442004,0.062162077426910406,0.0004314180230721599,0.038678892841562604,0.0002157090697437402
DNK,2013,0.0009064745972864,0.0027194234426133,0.9083716939785519,0.0009064744226634,0.0018129488453268,0.08437654870795058,0.0009064744808711
DNK,2016,0.0005533713265322,0.0016601141542194001,0.9922528266906738,0.0005533715011551,0.0011067427694796,0.0033202280174006,0.0005533713847398
DNK,2017,0.0013210112228989,0.0010904868831857,0.8010999228863511,0.0003634956665337,0.000726991216652,0.1950345912482588,0.0003634956956375
DNK,2019,0.0004402736958581,0.9942764719598925,0.0008805474208201001,0.0004402736958581,0.0008805487013886001,0.0026416418259028,0.0004402735794428
DNK,2020,1.0233338870108126,0.11228311165274726,0.12224362699780598,0.2702310251188464,0.0017441044115304,0.3359588307697164,0.0008720523619557268
DZA,2017,0.00017083649678773332,0.0005125094515581,0.00034167299357546664,0.00017083653559286666,0.00034167299357546664,0.33162497296386073,0.0001708364773852
ECU,2016,0.00011687872465698001,0.00035063613904637997,0.053630351996980574,0.00011687873629852,0.03878846166189758,0.10687991671729828,0.00011687870137392
EGY,2009,0.0002923322608694,0.00087699692812735,0.0005846646672580001,0.495615005493164,0.000584664492635,0.001753993477905,0.0002923322608694
EGY,2020,0.0001335212873527667,0.0004005638644836,0.37352041917620227,0.00013352128250211667,0.0002670425456016917,0.04207806666333137,0.000133521258248925
ESP,2000,0.0017201972659676666,0.0684562607978779,0.003440395152817033,0.9175695838639512,0.3257138809810082,0.010321186544994133,0.006111857908156966
ESP,2001,0.4593074917793274,0.11365401570219531,0.0010168161243199,0.0005084081203676,0.0010168160079046,0.0030504480237138,0.4214460253715515
ESP,2002,0.00016543286619706665,0.0004962986373963,0.0003308657711992333,0.17694520950317383,0.00033086569358903333,0.15489921063029508,0.00016543284679450002
ESP,2004,0.00029229428037065,0.000876882841112,0.0989458119147457,0.04086848720908165,0.0005845885607413,0.3096120452100875,0.0488198772072792
ESP,2005,0.00010875475127248,0.03263774084625764,0.0002175095723941601,0.00010875477455555999,0.00021750947926189992,0.00065252851927644,0.1660572052001952
ESP,2006,0.0019430115935391002,0.0058290356537324005,0.0038860231288706,0.7691524475812912,0.0038860235363243,1.2133604388218366,0.0019430115935391002
ESP,2009,0.0004701109137386,0.2397837282624095,0.0009402216528541,0.0004701109137386,0.2330355434678494,0.5248301536194047,0.0004701109137386
ESP,2011,0.08014585794363582,0.252432490673123,0.44117100050465935,0.0004028416199919444,0.0008056831494387001,0.0024170493254332447,0.00040284162645949997
ESP,2012,0.861711253489678,0.0139327763851415,0.5626821279292922,0.9950249890874449,0.0092885163806684,2.273805202062551,0.6168885373044759
ESP,2013,0.04955135833782439,0.31377418731766094,0.33938585765815,0.0020485088636631138,0.30945408967866844,1.6170708374605354,0.00204850882097752
ESP,2014,0.004561912908684301,0.2970391643466422,0.8189589671674181,0.994250086834654,0.18705061415675986,1.8235640205675727,0.3745752816321328
