iso_a3,year,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship,normalization
BEL,2020,4.339436884170256e-05,7.69317989732987e-05,0.030079186118015442,5.619436005936524e-05,0.0001600238975956299,0.0058578821371291865,0.06006053617763166,global
BGR,2003,0.0029434711245005124,0.002364482547318135,0.0023443925240395967,0.2943888603226231,0.002680089803858071,0.0015342499191750823,0.0017329007341839414,global
BGR,2008,1.3846094288162867e-05,0.005229732733227198,1.7943229612322117e-05,1.3028066101907374e-05,4.459681475838076e-05,5.275647203134554e-05,1.5905031801891325e-05,global
BGR,2020,1.992288635931104e-05,3.5320340810130795e-05,2.4670132041442734e-05,0.02147056211771761,7.346893706701038e-05,4.933151305495188e-05,3.382136892795625e-05,global
BIH,2017,0.027413114570371728,0.008952125577683481,0.004714826558446362,6.439929422352923e-05,0.00011141716051837795,9.973098458796946e-05,4.6254541778993956e-05,global
BRA,2012,0.025797466640022408,0.00021900503946923995,0.0001125764335587667,0.00014426472620264805,0.0003059711778984488,0.00018960747382149544,0.05342295152609864,global
BRA,2016,0.009078207411507862,0.04370716886129034,0.007749466567614324,0.008117554277656931,0.005458478173165849,0.007150725926923775,0.00011228460280571342,global
BRA,2018,0.0004285360382070926,0.009035295899807578,0.013230085449311257,6.341858817996378e-05,0.00020284804738080923,0.017515706712634645,0.006277860759935634,global
BWA,2011,4.7836208127556355e-05,0.005138079813531378,0.031045377371623224,0.00010244808591868332,0.00025794310952043814,0.016906663341599782,0.0001342651041462531,global
CAN,2000,0.0021491163784536763,0.6271273289902712,0.1645630095447048,0.048990917433816214,0.0057763131236048555,0.12286056136921274,0.5684213355356288,global
CAN,2001,0.00014513873487521217,0.0008935781590367317,0.00038485537304831574,0.00015000805651428382,0.00042440956228708337,0.038587597979968795,0.00020824710019231592,global
CAN,2002,0.5106056274928018,0.012532401472301906,0.501552519654335,0.005968844631084361,0.008848233070449497,0.25866387010488373,0.007362402774443613,global
CAN,2003,0.9796520377702593,0.2650999265659905,0.2480495633409052,0.17928274640039343,0.45207944190997573,0.1399774816644734,0.6745756031394387,global
