article,DH discipline,Data preservation and  digital curation,Digital heritage and multimedia,NLP,Other,Text analysis/mining,Textual scholarship
10.1093_llc_fqy040,0.0004963966202922,0.0014891897444611999,0.0009927931823767,0.9428014755249025,0.0009927930659614,0.052730926254298205,0.0004963966202922
10.1093_llc_fqy042,0.00011608568352780002,0.00034825704226798575,0.02474324545723252,0.00011608569184317143,0.00023217141694787142,0.1171852165384085,0.00011608570847392856
10.1093_llc_fqy043,0.0006446564802899,0.0019339696737005001,0.0956967051606625,0.0006446564220823,0.0012893131352028002,0.8991460620309223,0.0006446565967053
10.1093_llc_fqy044,0.00010422584600746001,0.02522684567375106,0.139778782078065,0.0339521050453186,0.00020845168037338,0.00062535505276166,0.00010422585764898
10.1093_llc_fqy047,0.0006951801478862667,0.0020855397451668336,0.0013903597525010334,0.3229056398073832,0.0013903599853316666,0.004171079257503,0.0006951799150556001
10.1093_llc_fqy048,0.1801748275756836,0.06850422960997093,0.00022015760623615,0.000110078821307975,0.00022015760623615,0.0006604728623642,0.000110078821307975
10.1093_llc_fqy049,5.791512861226666e-05,0.00017374538098615834,0.0407157006363074,5.791512861226666e-05,0.04192265297751873,0.0003474907280178416,5.791511406035e-05
10.1093_llc_fqy050,0.0005631812382489,0.0016895434237084,0.0011263624764978,0.4985756278038025,0.0011263623600825,0.4963557165465316,0.0005631811218336
10.1093_llc_fqy051,0.2860988179842631,0.0005913887483378,0.0390906925895251,0.005778261149923,0.00039425899740306664,0.0011827772056372669,0.00019712955690919998
10.1093_llc_fqy052,0.06860741972923279,0.07304536335037222,0.00020072603365405716,0.0001003629877232,0.0002007259754464,0.0006021778847622713,0.00010036303761547142
10.1093_llc_fqy053,0.00041680235881356667,0.0012504070376356,0.0008336048728475667,0.07637536029020947,0.0008336048340424667,0.2532067451393231,0.0004168023976186667
10.1093_llc_fqy055,0.000121186043543275,0.000363558101525975,0.00024237210163845,0.000121186043543275,0.0002423720434308,0.24878815007104998,0.00012118602899135
10.1093_llc_fqy059,0.20215784013271326,0.2210419015027582,0.0025010101962834,0.0630446895956993,0.0025010097306221,0.00750302977394295,0.0012505050981417
10.1093_llc_fqy060,0.00030648411484435,0.12680930804344823,0.0006129682587925249,0.000306484173052,0.0006129682005848499,0.08652269106823947,0.03482911363244055
10.1093_llc_fqy061,0.0008814265602268,0.342959003173746,0.0017628535861148,0.6464638710021973,0.0017628533532842,0.0052885586628688,0.0008814265602268
10.1093_llc_fqy062,0.00023681655875405,0.09026200290827542,0.034724384357105,0.000236816529650225,0.00047363304474855,0.12382952022016971,0.000236816485994475
10.1093_llc_fqy063,0.00017373277417693332,0.05555439257295797,0.0003474655677564,0.00017373281298203335,0.0003474654513411,0.2052373146677079,0.07149921854337056
10.1093_llc_fqy064,0.33066101868947345,0.0005344615007439667,0.0003563077383053334,0.0001781538788539667,0.0003563076606951333,0.0010689231179033334,0.0001781538982565
10.1093_llc_fqy065,0.0004281990404706,0.00128459723782715,0.0008563979936297499,0.0004281990986783,0.0008563979936297499,0.49571802889113303,0.0004281990404706
10.1093_llc_fqy066,0.0009620509226806,0.0028861524187959,0.0019241018453612,0.0009620510390959,0.0019241024274378,0.990379491006024,0.0009620509226806
10.1093_llc_fqy067,0.0002671434776857,0.0008014305494725,0.00053428704268295,0.0002671436232049,0.41365497850347305,0.08420786255737754,0.0002671434776857
10.1093_llc_fqy068,0.0001371276885038,0.10709083029360042,0.00027425540611144997,0.00013712771760765,0.0002742553624557,0.14194927237986113,0.000137127659399975
10.1093_llc_fqy069,0.0005140685243532,0.0015422060969285,0.00102813710691405,0.00876745022833345,0.00102813716512165,0.4570513698854483,0.03006864339113235
10.1093_llc_fqy070,0.01678808480501174,0.00044681365834544,0.00029787581879644,0.00014893795596434,0.00029787587700410006,0.1818714749300852,0.00014893787447362
10.1093_llc_fqy071,0.0008226608624681,0.0024679822963661,0.0016453210846520002,0.0008226605714298,0.0016453212010673,0.59049491683254,0.4021011292934418
10.1093_llc_fqy072,0.0006190533749759,0.31995767232729105,0.15970794786699108,0.0006190532003529,0.0012381062260828,0.5172391500091178,0.0006190530839376
10.1093_llc_fqy073,0.0009473036043345,0.0028419098816811,0.0108094051247461,0.0009473033715039,0.0018946060445158,0.9816121190087869,0.0009473032550886
10.1093_llc_fqy074,0.00020233046961946668,0.0006069915058711667,0.00040466097804403334,0.00020233052782713334,0.00040466093923893326,0.3313100214581936,0.00020233052782713334
10.1093_llc_fqy076,0.0002572551990548667,0.0007717657135799001,0.0005145103593046334,0.00025725525726253334,0.0005145105533301667,0.3307607848740493,0.00025725516024976665
10.1093_llc_fqy077,0.00029215711401775,0.18194435280747706,0.0005843140825163001,0.3145497441291809,0.0005843139369971499,0.0017529420438222002,0.00029215702670625
10.1093_llc_fqy078,0.0003722148539964,0.00111664412543175,0.00074442964978515,0.00037221537786535,0.00074442964978515,0.49627784741460335,0.00037221470847725
10.1093_llc_fqy079,0.0003473802935332,0.38448707148199895,0.00069476049975485,0.0003473802353255,0.0006947604415472001,0.0020842814701607496,0.1113443598151207
